time, battery, grassMean,
36493,0.701999,0.663853,
36494,0.697999,0.664063,
36495,0.693999,0.664273,
36496,0.689999,0.664483,
36497,0.685999,0.664693,
36498,0.681999,0.664902,
36499,0.677999,0.665112,
36500,0.673999,0.665322,
36501,0.669999,0.665531,
36502,0.665999,0.66574,
36503,0.661999,0.665949,
36504,0.651999,0.666158,
36505,0.641999,0.666368,
36506,0.631999,0.665944,
36507,0.627999,0.666153,
36508,0.617999,0.665729,
36509,0.613999,0.665566,
36510,0.609999,0.665403,
36511,0.605999,0.665241,
36512,0.601999,0.665078,
36513,0.597999,0.664952,
36514,0.593999,0.66479,
36515,0.589999,0.664673,
36516,0.585999,0.664511,
36517,0.581999,0.664348,
36518,0.577999,0.664185,
36519,0.573999,0.664049,
36520,0.569999,0.663886,
36521,0.565999,0.663724,
36522,0.561999,0.663751,
36523,0.557999,0.663588,
36524,0.553999,0.663426,
36525,0.549999,0.663262,
36526,0.545999,0.6631,
36527,0.541999,0.662938,
36528,0.537999,0.662774,
36529,0.533999,0.662721,
36530,0.529999,0.662642,
36531,0.525999,0.662563,
36532,0.521999,0.662427,
36533,0.517999,0.662377,
36534,0.513999,0.662214,
36535,0.509999,0.662051,
36536,0.505999,0.662079,
36537,0.501999,0.662028,
36538,0.497999,0.661979,
36539,0.493999,0.661953,
36540,0.489999,0.661927,
36541,0.485999,0.661788,
36542,0.481999,0.661815,
36543,0.477999,0.661661,
36544,0.473999,0.66162,
36545,0.469999,0.661466,
36546,0.465999,0.661502,
36547,0.461999,0.661349,
36548,0.457999,0.661384,
36549,0.453999,0.661231,
36550,0.449999,0.661161,
36551,0.445999,0.661007,
36552,0.441999,0.660936,
36553,0.437999,0.660972,
36554,0.433999,0.660902,
36555,0.429999,0.660794,
36556,0.425999,0.66083,
36557,0.421999,0.660676,
36558,0.417999,0.660522,
36559,0.413999,0.660369,
36560,0.409999,0.660214,
36561,0.405999,0.660145,
36562,0.401999,0.660074,
36563,0.397999,0.660003,
36564,0.393999,0.65985,
36565,0.383999,0.659851,
36566,0.379999,0.659887,
36567,0.375999,0.659924,
36568,0.371999,0.659852,
36569,0.367999,0.659699,
36570,0.363999,0.659591,
36571,0.359999,0.659473,
36572,0.355999,0.659357,
36573,0.351999,0.659321,
36574,0.347999,0.659367,
36575,0.343999,0.659376,
36576,0.339999,0.659385,
36577,0.335999,0.659393,
36578,0.331999,0.659302,
36579,0.327999,0.659172,
36580,0.323999,0.659041,
36581,0.319999,0.658987,
36582,0.315999,0.658998,
36583,0.311999,0.659009,
36584,0.307999,0.659019,
36585,0.303999,0.658888,
36586,0.299999,0.658758,
36587,0.295999,0.658734,
36588,0.291999,0.658676,
36589,0.287999,0.658544,
36590,0.283999,0.658414,
36591,0.279999,0.658284,
36592,0.275999,0.658153,
36593,0.271999,0.658022,
36594,0.267999,0.657892,
36595,0.263999,0.65776,
36596,0.259999,0.657629,
36597,0.255999,0.657621,
36598,0.251999,0.657613,
36599,0.247999,0.657604,
36600,0.243999,0.657473,
36601,0.239999,0.657418,
36602,0.235999,0.657362,
36603,0.231999,0.657332,
36604,0.227999,0.657301,
36605,0.223999,0.65727,
36606,0.219999,0.657284,
36607,0.215999,0.657333,
36608,0.211999,0.657382,
36609,0.207999,0.657432,
36610,0.203999,0.657436,
36611,0.199999,0.657492,
36612,0.195999,0.657547,
36613,0.191999,0.657552,
36614,0.187999,0.657544,
36615,0.183999,0.657549,
36616,0.179999,0.657553,
36617,0.175999,0.657558,
36618,0.171999,0.657608,
36619,0.167999,0.657664,
36620,0.163999,0.657721,
36621,0.159999,0.657776,
36622,0.155999,0.657832,
36623,0.151999,0.657888,
36624,0.147999,0.657944,
36625,0.177999,0.658003,
36626,0.207999,0.658062,
36627,0.237999,0.658121,
36628,0.267999,0.658181,
36629,0.297999,0.658239,
36630,0.327999,0.658298,
36631,0.357999,0.658358,
36632,0.387999,0.658416,
36633,0.417999,0.658475,
36634,0.447999,0.658535,
36635,0.477999,0.658593,
36636,0.507999,0.658652,
36637,0.537999,0.658712,
36638,0.567999,0.658771,
36639,0.597999,0.658829,
36640,0.627999,0.658889,
36641,0.657999,0.658947,
36642,0.687999,0.659006,
36643,0.717999,0.659046,
36644,0.747999,0.659086,
36645,0.777999,0.659124,
36646,0.807999,0.659164,
36647,0.837999,0.659203,
36648,0.867998,0.659242,
36649,0.897998,0.659282,
36650,0.927998,0.659321,
36651,0.957998,0.65936,
36652,0.987998,0.659399,
36653,1,0.659438,
36654,1,0.659478,
36655,0.996,0.659514,
36656,0.992,0.65955,
36657,0.988,0.659586,
36658,0.984,0.659623,
36659,0.98,0.659659,
36660,0.976,0.659695,
36661,0.972,0.659732,
36662,0.968,0.659768,
36663,0.964,0.659804,
36664,0.96,0.65984,
36665,0.956,0.659876,
36666,0.952,0.659885,
36667,0.948,0.659896,
36668,0.944,0.659838,
36669,0.94,0.659781,
36670,0.936,0.659752,
36671,0.932,0.659662,
36672,0.928,0.659561,
36673,0.924,0.659461,
36674,0.92,0.659336,
36675,0.916,0.659261,
36676,0.912,0.659215,
36677,0.908,0.659125,
36678,0.904,0.659033,
36679,0.9,0.658936,
36680,0.896,0.658839,
36681,0.892,0.65874,
36682,0.888,0.658676,
36683,0.884,0.658638,
36684,0.88,0.658606,
36685,0.876,0.658518,
36686,0.872,0.658367,
36687,0.868,0.658215,
36688,0.864,0.658221,
36689,0.86,0.658087,
36690,0.856,0.658079,
36691,0.852,0.657968,
36692,0.848,0.657817,
36693,0.844,0.657666,
36694,0.84,0.65757,
36695,0.836,0.657419,
36696,0.826,0.65704,
36697,0.822,0.656888,
36698,0.818,0.656738,
36699,0.814,0.656776,
36700,0.81,0.656624,
36701,0.806,0.656473,
36702,0.802,0.656512,
36703,0.798,0.65636,
36704,0.794,0.656209,
36705,0.79,0.656058,
36706,0.786,0.655906,
36707,0.782,0.655874,
36708,0.778,0.655834,
36709,0.774,0.655782,
36710,0.77,0.655631,
36711,0.766,0.65548,
36712,0.762,0.655328,
36713,0.758,0.655177,
36714,0.754,0.655043,
36715,0.75,0.654909,
36716,0.746,0.654776,
36717,0.742,0.654642,
36718,0.737999,0.654618,
36719,0.733999,0.654485,
36720,0.729999,0.654386,
36721,0.725999,0.65438,
36722,0.721999,0.654247,
36723,0.717999,0.654114,
36724,0.713999,0.65398,
36725,0.709999,0.654036,
36726,0.705999,0.653903,
36727,0.701999,0.653769,
36728,0.697999,0.653636,
36729,0.693999,0.653502,
36730,0.689999,0.653368,
36731,0.685999,0.653234,
36732,0.681999,0.653199,
36733,0.677999,0.653065,
36734,0.673999,0.653121,
36735,0.669999,0.653081,
36736,0.665999,0.653136,
36737,0.661999,0.653018,
36738,0.657999,0.653074,
36739,0.653999,0.653129,
36740,0.649999,0.653164,
36741,0.645999,0.65322,
36742,0.641999,0.653085,
36743,0.637999,0.652979,
36744,0.633999,0.652845,
36745,0.629999,0.652711,
36746,0.625999,0.652577,
36747,0.621999,0.652443,
36748,0.617999,0.652309,
36749,0.613999,0.652174,
36750,0.609999,0.65204,
36751,0.605999,0.651918,
36752,0.601999,0.651784,
36753,0.597999,0.65184,
