sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;vx;vy;vz;rollRate;pitchRate;yawRate;
1653318754;302113;1653318754;302213;1653318754;302030;0.325;0.03386268;0;0;0;0.3393007;
1653318754;328340;1653318754;328492;1653318754;328316;0.325;0.03386268;0;0;0;0.3393007;
1653318754;354408;1653318754;354469;1653318754;354371;0.325;0.03386268;0;0;0;0.3393007;
1653318754;379981;1653318754;380053;1653318754;379959;0.325;0.02485851;0;0;0;0.219041;
1653318754;405784;1653318754;405847;1653318754;405765;0.325;0.02018256;0;0;0;0.1720859;
1653318754;431185;1653318754;431246;1653318754;431169;0.325;0.01767771;0;0;0;0.1541809;
1653318754;456845;1653318754;456952;1653318754;456824;0.325;0.01630006;0;0;0;0.1476198;
1653318754;482554;1653318754;482653;1653318754;482532;0.325;0.01552613;0;0;0;0.1453853;
1653318754;507946;1653318754;508037;1653318754;507927;0.325;0.01508417;0;0;0;0.1447369;
1653318754;533393;1653318754;533461;1653318754;533377;0.325;0.01482869;0;0;0;0.144629;
1653318754;558729;1653318754;558798;1653318754;558710;0.325;0.01467968;0;0;0;0.1446782;
1653318754;584364;1653318754;584428;1653318754;584344;0.325;0.01459222;0;0;0;0.1447538;
1653318754;610269;1653318754;610341;1653318754;610249;0.325;0.01454066;0;0;0;0.1448177;
1653318754;635616;1653318754;635695;1653318754;635597;0.325;0.01451016;0;0;0;0.1448634;
1653318754;661137;1653318754;661201;1653318754;661116;0.325;0.01449208;0;0;0;0.1448938;
1653318754;690931;1653318754;691019;1653318754;690900;0.325;0.01448135;0;0;0;0.1449132;
1653318754;716737;1653318754;716820;1653318754;716718;0.325;0.01447497;0;0;0;0.1449252;
1653318754;742112;1653318754;742180;1653318754;742073;0.325;0.01447118;0;0;0;0.1449326;
1653318754;767423;1653318754;767492;1653318754;767406;0.325;0.01446892;0;0;0;0.1449371;
1653318754;792787;1653318754;792859;1653318754;792767;0.325;0.01446758;0;0;0;0.1449399;
1653318754;818170;1653318754;818367;1653318754;818146;0.325;0.01446678;0;0;0;0.1449415;
1653318754;843687;1653318754;843760;1653318754;843667;0.325;0.01446631;0;0;0;0.1449424;
1653318754;869274;1653318754;869397;1653318754;869235;0.325;0.01446602;0;0;0;0.144943;
1653318754;894734;1653318754;894798;1653318754;894716;0.325;0.01446585;0;0;0;0.1449434;
1653318754;920051;1653318754;920123;1653318754;920032;0.325;0.01446575;0;0;0;0.1449436;
1653318754;945411;1653318754;945478;1653318754;945393;0.325;0.01446569;0;0;0;0.1449437;
1653318754;970683;1653318754;970761;1653318754;970661;0.325;0.01446566;0;0;0;0.1449438;
1653318754;996136;1653318754;996207;1653318754;996116;0.325;0.01446564;0;0;0;0.1449438;
1653318755;21522;1653318755;21626;1653318755;21491;0.325;0.01446562;0;0;0;0.1449439;
1653318755;46875;1653318755;46954;1653318755;46852;0.325;0.01446562;0;0;0;0.1449439;
1653318755;73127;1653318755;73187;1653318755;73109;0.325;0.01446561;0;0;0;0.1449439;
1653318755;98474;1653318755;98538;1653318755;98456;0.325;0.01446561;0;0;0;0.1449439;
1653318755;124021;1653318755;124100;1653318755;124001;0.325;0.01446561;0;0;0;0.1449439;
1653318755;150241;1653318755;150308;1653318755;150223;0.325;0.01446561;0;0;0;0.1449439;
1653318755;175826;1653318755;175908;1653318755;175805;0.325;0.01446561;0;0;0;0.1449439;
1653318755;203216;1653318755;203280;1653318755;203198;0.325;0.01446561;0;0;0;0.1449439;
1653318755;230451;1653318755;230516;1653318755;230433;0.325;0.01446561;0;0;0;0.1449439;
1653318755;260529;1653318755;260605;1653318755;260509;0.325;0.01446561;0;0;0;0.1449439;
1653318755;286000;1653318755;286107;1653318755;285980;0.325;0.0144656;0;0;0;0.1449439;
1653318755;315665;1653318755;315736;1653318755;315644;0.325;0.0144656;0;0;0;0.1449439;
1653318755;347336;1653318755;347401;1653318755;347318;0.325;0.0144656;0;0;0;0.1449439;
1653318755;373032;1653318755;373095;1653318755;373014;0.325;0.0144656;0;0;0;0.1449439;
1653318755;400485;1653318755;400560;1653318755;400461;0.325;0.0144656;0;0;0;0.1449439;
1653318755;426017;1653318755;426054;1653318755;426002;0.325;0.0144656;0;0;0;0.1449439;
1653318755;451400;1653318755;451476;1653318755;451378;0.325;0.01485944;0;0;0;0.1502039;
1653318755;477374;1653318755;477469;1653318755;477356;0.325;0.01506396;0;0;0;0.1522577;
1653318755;502736;1653318755;502823;1653318755;502716;0.325;0.01517352;0;0;0;0.1530408;
1653318755;528175;1653318755;528282;1653318755;528155;0.325;0.01523378;0;0;0;0.1533278;
1653318755;553681;1653318755;553746;1653318755;553655;0.325;0.01526763;0;0;0;0.1534256;
1653318755;579224;1653318755;579317;1653318755;579183;0.325;0.01528696;0;0;0;0.1534539;
1653318755;612460;1653318755;612526;1653318755;612440;0.325;0.01529813;0;0;0;0.1534586;
1653318755;639093;1653318755;639173;1653318755;639073;0.325;0.01530465;0;0;0;0.1534565;
1653318755;664461;1653318755;664536;1653318755;664441;0.325;0.01530848;0;0;0;0.1534532;
1653318755;689838;1653318755;689901;1653318755;689821;0.325;0.01531073;0;0;0;0.1534504;
1653318755;715248;1653318755;715309;1653318755;715197;0.325;0.01531206;0;0;0;0.1534484;
1653318755;740981;1653318755;741067;1653318755;740962;0.325;0.01531286;0;0;0;0.1534471;
