sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;x;y;z;roll;pitch;yaw;
1653318768;845377;1653318768;845440;1653318768;845377;0.6404656;-3.584383;0;0;0;-0.1040044;
1653318768;947133;1653318768;947197;1653318768;947133;0.6470163;-3.584165;0;0;0;-0.0955626;
1653318769;47436;1653318769;47498;1653318769;47436;0.653565;-3.583891;0;0;0;-0.08712083;
1653318769;147841;1653318769;147904;1653318769;147841;0.6601111;-3.583562;0;0;0;-0.07867906;
1653318769;248142;1653318769;248211;1653318769;248142;0.6666542;-3.583178;0;0;0;-0.07023729;
1653318769;348483;1653318769;348545;1653318769;348483;0.673191;-3.582791;0;0;0;-0.06233023;
1653318769;449424;1653318769;449487;1653318769;449424;0.6797243;-3.582357;0;0;0;-0.05443136;
1653318769;549732;1653318769;549796;1653318769;549732;0.686254;-3.581872;0;0;0;-0.0465319;
1653318769;650592;1653318769;650651;1653318769;650592;0.6927795;-3.581335;0;0;0;-0.03863231;
1653318769;750980;1653318769;751047;1653318769;750980;0.6993007;-3.580747;0;0;0;-0.03073271;
1653318769;851365;1653318769;851444;1653318769;851365;0.705817;-3.580107;0;0;0;-0.02283311;
1653318769;955210;1653318769;955271;1653318769;955210;0.712328;-3.579416;0;0;0;-0.01493351;
1653318770;57819;1653318770;57891;1653318770;57819;0.7188334;-3.578673;0;0;0;-0.007033901;
1653318770;158162;1653318770;158267;1653318770;158162;0.7253327;-3.577879;0;-0;0;0.0008657026;
1653318770;258551;1653318770;258631;1653318770;258551;0.7318255;-3.577034;0;-0;0;0.008765306;
1653318770;359039;1653318770;359113;1653318770;359039;0.7383115;-3.576137;0;-0;0;0.01666491;
1653318770;459380;1653318770;459450;1653318770;459380;0.7447986;-3.575473;0;-0;0;0.02167315;
1653318770;559801;1653318770;559872;1653318770;559801;0.751283;-3.574801;0;-0;0;0.02663701;
1653318770;660084;1653318770;660154;1653318770;660084;0.757764;-3.5741;0;-0;0;0.03160413;
1653318770;760634;1653318770;760697;1653318770;760634;0.7642416;-3.573366;0;-0;0;0.03657191;
1653318770;860929;1653318770;860985;1653318770;860929;0.7707154;-3.572601;0;-0;0;0.04153977;
1653318770;961309;1653318770;961359;1653318770;961309;0.7771853;-3.571804;0;-0;0;0.04650764;
1653318771;61578;1653318771;61637;1653318771;61578;0.7836511;-3.570974;0;-0;0;0.05147551;
1653318771;162042;1653318771;162115;1653318771;162042;0.7901128;-3.570112;0;-0;0;0.05644339;
1653318771;262496;1653318771;262564;1653318771;262496;0.7965701;-3.569218;0;-0;0;0.06141126;
1653318771;362977;1653318771;363045;1653318771;362977;0.8030229;-3.568293;0;-0;0;0.06637914;
1653318771;463319;1653318771;463386;1653318771;463319;0.8094685;-3.567302;0;-0;0;0.07168549;
1653318771;563666;1653318771;563757;1653318771;563666;0.8159085;-3.566273;0;-0;0;0.07699703;
1653318771;664113;1653318771;664209;1653318771;664113;0.8223429;-3.565211;0;-0;0;0.08230819;
1653318771;764601;1653318771;764667;1653318771;764601;0.8287716;-3.564114;0;-0;0;0.08761927;
1653318771;864973;1653318771;865054;1653318771;864973;0.8351943;-3.562983;0;-0;0;0.09293034;
1653318771;965346;1653318771;965413;1653318771;965346;0.841611;-3.561818;0;-0;0;0.09824141;
1653318772;65713;1653318772;65777;1653318772;65713;0.8480214;-3.560619;0;-0;0;0.1035525;
1653318772;166143;1653318772;166248;1653318772;166143;0.8544254;-3.559386;0;-0;0;0.1088636;
1653318772;266585;1653318772;266650;1653318772;266585;0.8608227;-3.558119;0;-0;0;0.1141746;
1653318772;367271;1653318772;367340;1653318772;367271;0.8672131;-3.556818;0;-0;0;0.1194857;
1653318772;467703;1653318772;467815;1653318772;467703;0.8736137;-3.555614;0;-0;0;0.1234469;
1653318772;568198;1653318772;568261;1653318772;568198;0.8800108;-3.554396;0;-0;0;0.1273874;
1653318772;669251;1653318772;669299;1653318772;669251;0.8864033;-3.553155;0;-0;0;0.1313292;
1653318772;769543;1653318772;769608;1653318772;769543;0.8927908;-3.551888;0;-0;0;0.1352715;
1653318772;869886;1653318772;869956;1653318772;869886;0.8991733;-3.550597;0;-0;0;0.1392138;
1653318772;970264;1653318772;970330;1653318772;970264;0.9055507;-3.54928;0;-0;0;0.1431562;
1653318773;70594;1653318773;70657;1653318773;70594;0.9119229;-3.547938;0;-0;0;0.1470986;
1653318773;170924;1653318773;170990;1653318773;170924;0.9182897;-3.546571;0;-0;0;0.151041;
1653318773;271276;1653318773;271358;1653318773;271276;0.924651;-3.545179;0;-0;0;0.1549833;
1653318773;372076;1653318773;372214;1653318773;372076;0.9310424;-3.543981;0;-0;0;0.1566598;
1653318773;473062;1653318773;473098;1653318773;473062;0.9374349;-3.542792;0;-0;0;0.1583016;
1653318773;573277;1653318773;573348;1653318773;573277;0.9438257;-3.541594;0;-0;0;0.1599459;
1653318773;673617;1653318773;673680;1653318773;673617;0.9502146;-3.540386;0;-0;0;0.1615907;
1653318773;773918;1653318773;773979;1653318773;773918;0.9566016;-3.539168;0;-0;0;0.1632356;
1653318773;874324;1653318773;874388;1653318773;874324;0.9629865;-3.537939;0;-0;0;0.1648804;
1653318773;974640;1653318773;974703;1653318773;974640;0.9693694;-3.5367;0;-0;0;0.1665253;
1653318774;81124;1653318774;81175;1653318774;81124;0.9757501;-3.53545;0;-0;0;0.1681702;
1653318774;181482;1653318774;181541;1653318774;181482;0.9821612;-3.534378;0;-0;0;0.1676509;
1653318774;281997;1653318774;282057;1653318774;281997;0.9885831;-3.533371;0;-0;0;0.166786;
1653318774;383009;1653318774;383072;1653318774;383009;0.9950079;-3.532382;0;-0;0;0.1659129;
1653318774;483566;1653318774;483626;1653318774;483566;1.001434;-3.5314;0;-0;0;0.1650419;
1653318774;583852;1653318774;583891;1653318774;583852;1.007861;-3.530423;0;-0;0;0.1641712;
1653318774;684139;1653318774;684183;1653318774;684139;1.014288;-3.529452;0;-0;0;0.1633006;
1653318774;784455;1653318774;784519;1653318774;784455;1.020717;-3.528487;0;-0;0;0.16243;
1653318774;884838;1653318774;884876;1653318774;884838;1.027146;-3.527527;0;-0;0;0.1615594;
1653318774;985450;1653318774;985510;1653318774;985450;1.033576;-3.526573;0;-0;0;0.1606888;
1653318775;90546;1653318775;90689;1653318775;90546;1.040007;-3.525624;0;-0;0;0.1598182;
1653318775;190996;1653318775;191089;1653318775;190996;1.046471;-3.524888;0;-0;0;0.1567218;
1653318775;291405;1653318775;291469;1653318775;291405;1.052943;-3.524206;0;-0;0;0.1535104;
1653318775;392237;1653318775;392405;1653318775;392237;1.059418;-3.523548;0;-0;0;0.1503019;
1653318775;492935;1653318775;492991;1653318775;492935;1.065895;-3.522912;0;-0;0;0.1470942;
1653318775;593746;1653318775;593810;1653318775;593746;1.072374;-3.522297;0;-0;0;0.1438866;
1653318775;694349;1653318775;694442;1653318775;694349;1.078854;-3.521703;0;-0;0;0.1406791;
1653318775;800472;1653318775;800537;1653318775;800472;1.085337;-3.521129;0;-0;0;0.1374715;
1653318775;905605;1653318775;905676;1653318775;905605;1.091821;-3.520576;0;-0;0;0.134264;
1653318776;6968;1653318776;7062;1653318776;6968;1.098307;-3.520044;0;-0;0;0.1310564;
1653318776;109009;1653318776;109130;1653318776;109009;1.10481;-3.519658;0;-0;0;0.1262985;
1653318776;210973;1653318776;211041;1653318776;210973;1.11133;-3.519428;0;-0;0;0.1205909;
1653318776;311311;1653318776;311372;1653318776;311311;1.117853;-3.519248;0;-0;0;0.1148751;
1653318776;412046;1653318776;412121;1653318776;412046;1.124376;-3.519107;0;-0;0;0.1091615;
1653318776;512405;1653318776;512463;1653318776;512405;1.1309;-3.519002;0;-0;0;0.1034481;
1653318776;614615;1653318776;620532;1653318776;614615;1.137425;-3.518936;0;-0;0;0.09773482;
1653318776;715374;1653318776;715433;1653318776;715374;1.14395;-3.518906;0;-0;0;0.09202154;
1653318776;815697;1653318776;815759;1653318776;815697;1.150474;-3.518914;0;-0;0;0.08630826;
1653318776;916019;1653318776;916084;1653318776;916019;1.156999;-3.518959;0;-0;0;0.08059497;
1653318777;16359;1653318777;16423;1653318777;16359;1.163531;-3.519145;0;-0;0;0.07359783;
1653318777;116709;1653318777;116781;1653318777;116709;1.170067;-3.519482;0;-0;0;0.06581438;
1653318777;217164;1653318777;217231;1653318777;217164;1.176601;-3.51988;0;-0;0;0.05802417;
1653318777;317544;1653318777;317606;1653318777;317544;1.183132;-3.52033;0;-0;0;0.05023567;
1653318777;417950;1653318777;418029;1653318777;417950;1.189659;-3.52083;0;-0;0;0.04244745;
1653318777;518334;1653318777;518402;1653318777;518334;1.196182;-3.521382;0;-0;0;0.03465927;
1653318777;618662;1653318777;618727;1653318777;618662;1.2027;-3.521984;0;-0;0;0.0268711;
1653318777;718978;1653318777;719040;1653318777;718978;1.209214;-3.522637;0;-0;0;0.01908293;
1653318777;819411;1653318777;819470;1653318777;819411;1.215722;-3.523341;0;-0;0;0.01129475;
1653318777;919756;1653318777;919821;1653318777;919756;1.222225;-3.524191;0;-0;0;0.002487107;
1653318778;20033;1653318778;20150;1653318778;20033;1.228719;-3.525115;0;0;0;-0.006373141;
1653318778;120331;1653318778;120391;1653318778;120331;1.235205;-3.526097;0;0;0;-0.01523235;
1653318778;221543;1653318778;221606;1653318778;221543;1.241681;-3.527138;0;0;0;-0.02409097;
1653318778;326435;1653318778;326546;1653318778;326435;1.248149;-3.528235;0;0;0;-0.03294949;
1653318778;428094;1653318778;428159;1653318778;428094;1.254606;-3.52939;0;0;0;-0.04180801;
